"module","method","path","files"
"intellicare-comunicacao","POST","/api/v1/lgpd/preferences/{patient_id}/opt-out/{channel}",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","PUT","/api/v1/lgpd/preferences/{patient_id}/quiet-hours",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","GET","/api/v1/lgpd/verify-chain",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py"
"intellicare-comunicacao","GET","/api/v1/links/patient-room",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/links/patient-room",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","DELETE","/api/v1/links/patient-room/{patient_id}",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/links/patient-room/{patient_id}",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/messages/send",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/push/subscribe",".\intellicare-comunicacao\comunicacao\api\push_routes.py"
"intellicare-comunicacao","DELETE","/api/v1/push/subscribe/{subscription_id}",".\intellicare-comunicacao\comunicacao\api\push_routes.py"
"intellicare-comunicacao","GET","/api/v1/push/subscriptions",".\intellicare-comunicacao\comunicacao\api\push_routes.py"
"intellicare-comunicacao","POST","/api/v1/push/test",".\intellicare-comunicacao\comunicacao\api\push_routes.py"
"intellicare-comunicacao","GET","/api/v1/push/vapid-key",".\intellicare-comunicacao\comunicacao\api\push_routes.py"
"intellicare-comunicacao","POST","/api/v1/rooms",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","POST","/api/v1/rooms/{room_id}/invite",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-comunicacao","GET","/api/v1/routing/intents",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","GET","/api/v1/routing/intents/{intent_id}",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","PUT","/api/v1/routing/intents/{intent_id}/cancel",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","GET","/api/v1/routing/metrics",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","GET","/api/v1/routing/rules",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","PUT","/api/v1/routing/rules/{rule_id}",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","POST","/api/v1/routing/scheduler/process-due",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","POST","/api/v1/routing/scheduler/start",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","GET","/api/v1/routing/scheduler/status",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","POST","/api/v1/routing/scheduler/stop",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","POST","/api/v1/routing/send",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","POST","/api/v1/routing/send-batch",".\intellicare-comunicacao\comunicacao\api\routing_routes.py"
"intellicare-comunicacao","POST","/api/v1/send",".\intellicare-comunicacao\src\comunicacao\api\endpoints.py"
"intellicare-comunicacao","GET","/api/v1/sms/providers",".\intellicare-comunicacao\comunicacao\api\sms_routes.py"
"intellicare-comunicacao","POST","/api/v1/sms/send",".\intellicare-comunicacao\comunicacao\api\sms_routes.py"
"intellicare-comunicacao","GET","/api/v1/status/{message_id}",".\intellicare-comunicacao\src\comunicacao\api\endpoints.py"
"intellicare-comunicacao","DELETE","/api/v1/templates/{template_id}",".\intellicare-comunicacao\comunicacao\api\template_routes.py"
"intellicare-comunicacao","GET","/api/v1/templates/{template_id}",".\intellicare-comunicacao\comunicacao\api\template_routes.py"
"intellicare-comunicacao","PUT","/api/v1/templates/{template_id}",".\intellicare-comunicacao\comunicacao\api\template_routes.py"
"intellicare-comunicacao","POST","/api/v1/templates/{template_id}/preview",".\intellicare-comunicacao\comunicacao\api\template_routes.py"
"intellicare-comunicacao","POST","/api/v1/templates/{template_id}/validate",".\intellicare-comunicacao\comunicacao\api\template_routes.py"
"intellicare-comunicacao","GET","/api/v1/webhooks/whatsapp",".\intellicare-comunicacao\comunicacao\api\webhook_routes.py"
"intellicare-comunicacao","POST","/api/v1/webhooks/whatsapp",".\intellicare-comunicacao\comunicacao\api\webhook_routes.py"
"intellicare-comunicacao","POST","/api/v1/whatsapp/send",".\intellicare-comunicacao\comunicacao\api\whatsapp_routes.py"
"intellicare-comunicacao","GET","/api/v1/whatsapp/templates",".\intellicare-comunicacao\comunicacao\api\whatsapp_routes.py"
"intellicare-comunicacao","GET","/api/v1/whatsapp/templates/{template_name}",".\intellicare-comunicacao\comunicacao\api\whatsapp_routes.py"
"intellicare-comunicacao","GET","/metrics",".\intellicare-comunicacao\comunicacao\api\app.py"
"intellicare-conhecimento","GET","/api/v1/health",".\intellicare-conhecimento\conhecimento\api\app.py"
"intellicare-conhecimento","GET","/api/v1/info",".\intellicare-conhecimento\conhecimento\api\app.py"
"intellicare-conhecimento","GET","/api/v1/protocolos/{protocol_id}",".\intellicare-conhecimento\conhecimento\api\protocolos.py"
"intellicare-conhecimento","PUT","/api/v1/protocolos/{protocol_id}",".\intellicare-conhecimento\conhecimento\api\protocolos.py"
"intellicare-conhecimento","GET","/api/v1/protocolos/{protocol_id}/history",".\intellicare-conhecimento\conhecimento\api\protocolos.py"
"intellicare-conhecimento","POST","/api/v1/protocolos/{protocol_id}/transition",".\intellicare-conhecimento\conhecimento\api\protocolos.py"
"intellicare-conhecimento","POST","/api/v1/protocolos/search",".\intellicare-conhecimento\conhecimento\api\protocolos.py"
"intellicare-conhecimento","POST","/api/v1/rag/query",".\intellicare-conhecimento\conhecimento\api\rag.py"
