"module","file","method","path"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","POST","/api/v1/lgpd/preferences/{patient_id}/opt-out/{channel}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","PUT","/api/v1/lgpd/preferences/{patient_id}/quiet-hours"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\lgpd_routes.py","GET","/api/v1/lgpd/verify-chain"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/links/patient-room"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/links/patient-room"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","DELETE","/api/v1/links/patient-room/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","GET","/api/v1/links/patient-room/{patient_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/messages/send"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\push_routes.py","POST","/api/v1/push/subscribe"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\push_routes.py","DELETE","/api/v1/push/subscribe/{subscription_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\push_routes.py","GET","/api/v1/push/subscriptions"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\push_routes.py","POST","/api/v1/push/test"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\push_routes.py","GET","/api/v1/push/vapid-key"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/rooms"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","POST","/api/v1/rooms/{room_id}/invite"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","GET","/api/v1/routing/intents"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","GET","/api/v1/routing/intents/{intent_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","PUT","/api/v1/routing/intents/{intent_id}/cancel"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","GET","/api/v1/routing/metrics"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","GET","/api/v1/routing/rules"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","PUT","/api/v1/routing/rules/{rule_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","POST","/api/v1/routing/scheduler/process-due"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","POST","/api/v1/routing/scheduler/start"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","GET","/api/v1/routing/scheduler/status"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","POST","/api/v1/routing/scheduler/stop"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","POST","/api/v1/routing/send"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\routing_routes.py","POST","/api/v1/routing/send-batch"
"intellicare-comunicacao",".\intellicare-comunicacao\src\comunicacao\api\endpoints.py","POST","/api/v1/send"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\sms_routes.py","GET","/api/v1/sms/providers"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\sms_routes.py","POST","/api/v1/sms/send"
"intellicare-comunicacao",".\intellicare-comunicacao\src\comunicacao\api\endpoints.py","GET","/api/v1/status/{message_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\template_routes.py","DELETE","/api/v1/templates/{template_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\template_routes.py","GET","/api/v1/templates/{template_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\template_routes.py","PUT","/api/v1/templates/{template_id}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\template_routes.py","POST","/api/v1/templates/{template_id}/preview"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\template_routes.py","POST","/api/v1/templates/{template_id}/validate"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\webhook_routes.py","GET","/api/v1/webhooks/whatsapp"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\webhook_routes.py","POST","/api/v1/webhooks/whatsapp"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\whatsapp_routes.py","POST","/api/v1/whatsapp/send"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\whatsapp_routes.py","GET","/api/v1/whatsapp/templates"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\whatsapp_routes.py","GET","/api/v1/whatsapp/templates/{template_name}"
"intellicare-comunicacao",".\intellicare-comunicacao\comunicacao\api\app.py","GET","/metrics"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\app.py","GET","/api/v1/health"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\app.py","GET","/api/v1/info"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\protocolos.py","GET","/api/v1/protocolos/{protocol_id}"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\protocolos.py","PUT","/api/v1/protocolos/{protocol_id}"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\protocolos.py","GET","/api/v1/protocolos/{protocol_id}/history"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\protocolos.py","POST","/api/v1/protocolos/{protocol_id}/transition"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\protocolos.py","POST","/api/v1/protocolos/search"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\rag.py","POST","/api/v1/rag/query"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\rag.py","POST","/api/v1/rag/reindex"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\templates.py","GET","/api/v1/templates/careplan/{condition}"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\templates.py","POST","/api/v1/templates/careplan/generate"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\terminologias.py","GET","/api/v1/terminologias/{system}/{code}"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\terminologias.py","GET","/api/v1/terminologias/mapeamentos"
"intellicare-conhecimento",".\intellicare-conhecimento\conhecimento\api\terminologias.py","POST","/api/v1/terminologias/search"
